Stress and strain data from a mechanical pull test,
,
Strain (uin/in),Stress (MPa)
The moving average window size of this data is 10
8.64393287,16.65442323
16.65442323,3.6905824735
3.6905824735,0.3665754685
0.3665754685,15.5940769
15.5940769,5.8937831215
5.8937831215,6.322062485
6.322062485,1.74057179
1.74057179,1.617624095
1.617624095,5.410561852
5.410561852,1.2867652674999999
1.2867652674999999,0.5840830545
0.5840830545,9.04287705
9.04287705,15.65113661
15.65113661,7.46749012
7.46749012,14.115838255
14.115838255,15.938504694999999
15.938504694999999,0.36844895000000033
0.36844895000000033,14.977354945
14.977354945,19.346533935
19.346533935,14.122727280000001
14.122727280000001,4.2603600329999995
4.2603600329999995,13.931873565
13.931873565,20.35549421
20.35549421,10.818339915
10.818339915,17.542168535
17.542168535,25.45385387
25.45385387,12.416490045
12.416490045,13.003317095
13.003317095,13.600852025
13.600852025,12.86765727
12.86765727,16.24805768
16.24805768,4.7952055535
4.7952055535,13.49973106
13.49973106,9.734238661
9.734238661,16.91437974
16.91437974,10.781271929999999
10.781271929999999,13.66043358
13.66043358,9.223428151
9.223428151,18.57508644
18.57508644,23.042682820000003
23.042682820000003,14.49370866
14.49370866,-4.4421018850000005
-4.4421018850000005,10.5000152705
10.5000152705,15.86109632
15.86109632,19.65382616
19.65382616,23.910664925
23.910664925,16.6979916
16.6979916,15.1158159
15.1158159,9.9436905315
9.9436905315,6.687292869
6.687292869,14.108003905
14.108003905,7.8136878865
7.8136878865,18.45597659
18.45597659,13.970175170000001
13.970175170000001,19.284647525
19.284647525,22.662840905000003
22.662840905000003,28.00143294
28.00143294,19.741538695
19.741538695,18.85708201
18.85708201,20.290906955
20.290906955,19.308353265
19.308353265,6.717902426999999
6.717902426999999,26.544910289999997
26.544910289999997,2.3204662349999996
2.3204662349999996,9.913547196
9.913547196,18.64018807
18.64018807,19.419224595
19.419224595,25.461468869999997
25.461468869999997,11.819111359
11.819111359,19.273376655
19.273376655,17.864472635
17.864472635,19.498429065
19.498429065,30.16449822
30.16449822,20.094144285
20.094144285,21.249681805
21.249681805,20.274697825
20.274697825,23.695416414999997
23.695416414999997,21.646578245
21.646578245,27.72495117
27.72495117,26.09257566
26.09257566,16.2483366065
16.2483366065,17.989642149999998
17.989642149999998,14.43535452
14.43535452,23.665603515
23.665603515,24.058230195
24.058230195,17.5966939405
17.5966939405,27.671901705
27.671901705,25.288498075
25.288498075,15.334997575
15.334997575,29.62144859
29.62144859,30.822689645
30.822689645,27.104223365
27.104223365,14.4986936035
14.4986936035,29.93753744
29.93753744,22.420663465
22.420663465,20.670923975
20.670923975,17.4432545095
17.4432545095,25.8027758
25.8027758,24.448828695
24.448828695,25.250657185
25.250657185,16.886793409
16.886793409,26.296276055
26.296276055,30.19134176
30.19134176,26.23249826
26.23249826,29.61670367
29.61670367,15.417350727
15.417350727,26.481558715
26.481558715,25.435252245
25.435252245,19.359315236
19.359315236,24.203964335
24.203964335,18.6384861045
18.6384861045,32.82413722
32.82413722,22.564016435
22.564016435,25.7369201
25.7369201,24.342714334999997
24.342714334999997,25.04475281
25.04475281,27.33723639
27.33723639,25.411922035000003
25.411922035000003,20.9567405385
20.9567405385,25.091326019999997
25.091326019999997,20.95776713
20.95776713,31.966741194999997
31.966741194999997,45.435418285
45.435418285,31.93989976
31.93989976,25.59395769
25.59395769,28.940734845
28.940734845,38.58700871
38.58700871,29.623859170000003
29.623859170000003,32.317565925
32.317565925,30.048173239999997
30.048173239999997,35.92830674
35.92830674,34.590474145
34.590474145,42.54543847
42.54543847,25.775534935
25.775534935,28.874253429999996
28.874253429999996,27.770558645
27.770558645,36.959489245
36.959489245,26.162858885000002
