STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,TOT,,2.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,TOT,,2.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CAN,Canada,JE_LMIS,Labour market insecurity,L,Value,TOT,,3.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CZE,Czechia,JE_LMIS,Labour market insecurity,L,Value,TOT,,2.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DNK,Denmark,JE_LMIS,Labour market insecurity,L,Value,TOT,,4.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FIN,Finland,JE_LMIS,Labour market insecurity,L,Value,TOT,,2.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,JE_LMIS,Labour market insecurity,L,Value,TOT,,3.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,JE_LMIS,Labour market insecurity,L,Value,TOT,,1.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,JE_LMIS,Labour market insecurity,L,Value,TOT,,21.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,HUN,Hungary,JE_LMIS,Labour market insecurity,L,Value,TOT,,3.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ISL,Iceland,JE_LMIS,Labour market insecurity,L,Value,TOT,,1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,IRL,Ireland,JE_LMIS,Labour market insecurity,L,Value,TOT,,2.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,JE_LMIS,Labour market insecurity,L,Value,TOT,,8.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,JPN,Japan,JE_LMIS,Labour market insecurity,L,Value,TOT,,2.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,JE_LMIS,Labour market insecurity,L,Value,TOT,,2.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,LUX,Luxembourg,JE_LMIS,Labour market insecurity,L,Value,TOT,,2.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,MEX,Mexico,JE_LMIS,Labour market insecurity,L,Value,TOT,,4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,JE_LMIS,Labour market insecurity,L,Value,TOT,,2.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NZL,New Zealand,JE_LMIS,Labour market insecurity,L,Value,TOT,,4.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NOR,Norway,JE_LMIS,Labour market insecurity,L,Value,TOT,,2.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,POL,Poland,JE_LMIS,Labour market insecurity,L,Value,TOT,,5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,PRT,Portugal,JE_LMIS,Labour market insecurity,L,Value,TOT,,8.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SVK,Slovak Republic,JE_LMIS,Labour market insecurity,L,Value,TOT,,8.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,JE_LMIS,Labour market insecurity,L,Value,TOT,,15.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,SWE,Sweden,JE_LMIS,Labour market insecurity,L,Value,TOT,,4.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,JE_LMIS,Labour market insecurity,L,Value,TOT,,13,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,JE_LMIS,Labour market insecurity,L,Value,TOT,,3.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,JE_LMIS,Labour market insecurity,L,Value,TOT,,4.2,,A,,PC,Percentage,0,Units,,
