"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.05.19 6:30 PM GMT","South Boston Speedway","iRacing Advanced Legends Cup","2019","2","N/A","10","1390",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","5","Legends Ford '34 Coupe","5","Legends","46216","46216","Adam Diamond","4","3","0","Running","-00.000","27","","17.915","17.421","3","40","0","83","12","4","23","Mid-South","1462","1550","14","246","14","255","iRacing Advanced Legends Cup","100","0","83"
"2","5","Legends Ford '34 Coupe","5","Legends","237017","237017","Charles Hinkle","2","1","0","Running","-00.209","0","","17.920","17.348","3","40","2","76","10","5","23","Mid-South","1596","1663","16","456","16","453","iRacing Advanced Legends Cup","100","0","76"
"3","5","Legends Ford '34 Coupe","5","Legends","345875","345875","Kellie Carden","5","7","0","Running","-03.339","0","","17.999","17.543","2","40","0","69","8","6","32","West","1345","1408","7","336","7","343","iRacing Advanced Legends Cup","100","0","69"
"4","5","Legends Ford '34 Coupe","5","Legends","261757","261757","Matthew Hibbard2","1","2","0","Running","-05.678","13","","18.057","17.294","3","40","0","62","6","4","14","New York","1534","1573","20","433","20","438","iRacing Advanced Legends Cup","100","0","62"
"5","5","Legends Ford '34 Coupe","5","Legends","357805","357805","Stefan Roßmann","10","5","0","Running","-10.178","0","","18.169","17.728","11","40","4","55","4","R","42","DE-AT-CH","1388","1418","6","296","6","293","iRacing Advanced Legends Cup","100","0","55"
"6","5","Legends Ford '34 Coupe","5","Legends","230038","230038","Claude Marshall","7","10","0","Running","-15.557","0","","18.304","17.856","2","40","4","48","2","6","23","Mid-South","1244","1266","15","346","15","340","iRacing Advanced Legends Cup","100","0","48"
"7","5","Legends Ford '34 Coupe","5","Legends","92128","92128","Joseph Dowling","13","11","0","Running","-2 L","0","","18.954","17.887","3","38","2","41","0","4","22","Florida","1241","1248","17","147","17","151","iRacing Advanced Legends Cup","100","0","41"
"8","5","Legends Ford '34 Coupe","5","Legends","364507","364507","Michael Hornbeck","3","8","0","Running","-2 L","0","","19.283","17.623","3","38","6","34","0","R","17","Virginias","1312","1301","14","250","14","237","iRacing Advanced Legends Cup","100","0","34"
"9","5","Legends Ford '34 Coupe","5","Legends","374824","374824","Ignacio Guerrero","11","4","0","Running","-5 L","0","","18.251","17.735","2","35","8","27","0","R","24","Hispanoam�rica","1447","1414","6","271","6","265","iRacing Advanced Legends Cup","100","0","27"
"10","5","Legends Ford '34 Coupe","5","Legends","368603","368603","Tom Buckley2","8","6","0","Running","-10 L","0","","18.287","17.648","7","30","14","20","0","R","25","Carolina","1384","1339","7","381","7","351","iRacing Advanced Legends Cup","100","0","20"
"11","5","Legends Ford '34 Coupe","5","Legends","375407","375407","Jack Snygg","12","12","0","Running","-20 L","0","","20.791","17.819","14","20","8","13","0","R","43","Scandinavia","","","2","292","2","281","iRacing Advanced Legends Cup","100","0","13"
"12","5","Legends Ford '34 Coupe","5","Legends","116291","116291","Diego Goncalves","9","9","32","Disconnected","-29 L","0","","19.892","17.685","2","11","12","6","0","R","41","Italy","","","2","272","2","257","iRacing Advanced Legends Cup","100","0","6"
"13","5","Legends Ford '34 Coupe","5","Legends","376461","376461","Jeffrey Langerak2","6","13","32","Disconnected","-35 L","0","","19.512","17.888","3","5","4","3","0","R","40","Benelux","","","2","250","2","247","iRacing Advanced Legends Cup","100","0","3"
